# packages in environment at d:\an3:
#
# Name                    Version                   Build  Channel
_anaconda_depends         2024.06             py312_mkl_2  
abseil-cpp                20211102.0           h36ffca9_3    conda-forge
aiobotocore               2.15.0             pyhd8ed1ab_0    conda-forge
aiohappyeyeballs          2.4.0              pyhd8ed1ab_0    conda-forge
aiohttp                   3.10.5          py312h4389bb4_0    conda-forge
aioitertools              0.11.0             pyhd8ed1ab_0    conda-forge
aiosignal                 1.3.1              pyhd8ed1ab_0    conda-forge
alabaster                 1.0.0              pyhd8ed1ab_0    conda-forge
altair                    5.4.1              pyhd8ed1ab_0    conda-forge
anaconda-anon-usage       0.4.4           py312hfc23b7f_100  
anaconda-catalogs         0.2.0              pyhd8ed1ab_0    conda-forge
anaconda-client           1.12.3             pyhd8ed1ab_1    conda-forge
anaconda-cloud-auth       0.5.1           py312haa95532_0  
anaconda-navigator        2.6.2           py312haa95532_0    anaconda
anaconda-project          0.11.1             pyhd8ed1ab_0    conda-forge
annotated-types           0.7.0              pyhd8ed1ab_0    conda-forge
anyio                     4.4.0              pyhd8ed1ab_0    conda-forge
aom                       3.5.0                h63175ca_0    conda-forge
appdirs                   1.4.4              pyh9f0ad1d_0    conda-forge
archspec                  0.2.3              pyhd8ed1ab_0    conda-forge
argon2-cffi               23.1.0             pyhd8ed1ab_0    conda-forge
argon2-cffi-bindings      21.2.0          py312h4389bb4_5    conda-forge
arrow                     1.3.0              pyhd8ed1ab_0    conda-forge
arrow-cpp                 14.0.2               ha81ea56_1  
astroid                   3.2.4           py312h2e8e312_0    conda-forge
astropy                   6.1.3           py312h1a27103_1    conda-forge
astropy-iers-data         0.2024.9.16.0.32.21    pyhd8ed1ab_0    conda-forge
asttokens                 2.4.1              pyhd8ed1ab_0    conda-forge
async-lru                 2.0.4              pyhd8ed1ab_0    conda-forge
asyncssh                  2.17.0             pyhd8ed1ab_0    conda-forge
atomicwrites              1.4.1              pyhd8ed1ab_0    conda-forge
attrs                     24.2.0             pyh71513ae_0    conda-forge
automat                   24.8.1             pyhd8ed1ab_0    conda-forge
autopep8                  2.0.4              pyhd8ed1ab_0    conda-forge
aws-c-auth                0.6.21               h0fd8c68_3    conda-forge
aws-c-cal                 0.5.20               h4b5e85a_3    conda-forge
aws-c-common              0.8.5                hcfcfb64_0    conda-forge
aws-c-compression         0.2.16               h3dc32ea_0    conda-forge
aws-c-event-stream        0.2.17               h4de63fd_1    conda-forge
aws-c-http                0.7.0                h28290ff_0    conda-forge
aws-c-io                  0.13.12              hea55e33_1    conda-forge
aws-c-mqtt                0.7.13              h0d1d87f_12    conda-forge
aws-c-s3                  0.2.1                h898862f_4    conda-forge
aws-c-sdkutils            0.1.7                h3dc32ea_0    conda-forge
aws-checksums             0.1.14               h3dc32ea_0    conda-forge
aws-crt-cpp               0.18.16              h977b11b_8    conda-forge
aws-sdk-cpp               1.10.55              haf3c795_0    conda-forge
babel                     2.14.0             pyhd8ed1ab_0    conda-forge
backports                 1.0                pyhd8ed1ab_4    conda-forge
backports.tarfile         1.0.0              pyhd8ed1ab_1    conda-forge
bcrypt                    4.2.0           py312h2615798_1    conda-forge
beautifulsoup4            4.12.3             pyha770c72_0    conda-forge
binaryornot               0.4.4                      py_1    conda-forge
black                     24.8.0          py312h2e8e312_1    conda-forge
blas                      1.0                         mkl  
bleach                    6.1.0              pyhd8ed1ab_0    conda-forge
blinker                   1.8.2              pyhd8ed1ab_0    conda-forge
blosc                     1.21.5               hbd69f2e_1    conda-forge
bokeh                     3.5.2              pyhd8ed1ab_0    conda-forge
boltons                   24.0.0             pyhd8ed1ab_0    conda-forge
boost-cpp                 1.85.0               h6f18f0d_2    conda-forge
botocore                  1.35.16         pyge310_1234567_0    conda-forge
bottleneck                1.4.0           py312h1a27103_2    conda-forge
brotli                    1.0.9                hcfcfb64_9    conda-forge
brotli-bin                1.0.9                hcfcfb64_9    conda-forge
brotli-python             1.0.9           py312hd77b12b_8  
bzip2                     1.0.8                h2466b09_7    conda-forge
c-ares                    1.33.1               h2466b09_0    conda-forge
c-blosc2                  2.15.1               hb461149_0    conda-forge
ca-certificates           2024.8.30            h56e8100_0    conda-forge
cached-property           1.5.2                hd8ed1ab_1    conda-forge
cached_property           1.5.2              pyha770c72_1    conda-forge
cachetools                5.5.0              pyhd8ed1ab_0    conda-forge
certifi                   2024.8.30          pyhd8ed1ab_0    conda-forge
cffi                      1.17.1          py312h4389bb4_0    conda-forge
cfitsio                   3.470                h0af3d06_7    conda-forge
chardet                   5.2.0           py312h2e8e312_2    conda-forge
charls                    2.2.0                h39d44d4_0    conda-forge
charset-normalizer        3.3.2              pyhd8ed1ab_0    conda-forge
click                     8.1.7           win_pyh7428d3b_0    conda-forge
cloudpickle               3.0.0              pyhd8ed1ab_0    conda-forge
colorama                  0.4.6              pyhd8ed1ab_0    conda-forge
colorcet                  3.1.0              pyhd8ed1ab_0    conda-forge
comm                      0.2.2              pyhd8ed1ab_0    conda-forge
conda                     24.7.1          py312h2e8e312_0    conda-forge
conda-build               24.7.1          py312h2e8e312_0    conda-forge
conda-content-trust       0.2.0              pyhd8ed1ab_0    conda-forge
conda-index               0.5.0              pyhd8ed1ab_0    conda-forge
conda-libmamba-solver     24.7.0             pyhd8ed1ab_0    conda-forge
conda-pack                0.8.0              pyhd8ed1ab_0    conda-forge
conda-package-handling    2.3.0              pyh7900ff3_0    conda-forge
conda-package-streaming   0.10.0             pyhd8ed1ab_0    conda-forge
conda-repo-cli            1.0.88          py312haa95532_0  
conda-token               0.5.0              pyhd3eb1b0_0  
console_shortcut          0.1.1                haa95532_6  
constantly                23.10.4         py312haa95532_0  
contourpy                 1.3.0           py312hd5eb7cc_1    conda-forge
cookiecutter              2.6.0              pyhca7485f_0    conda-forge
cramjam                   2.8.4rc3        py312h7a6832a_2    conda-forge
cryptography              43.0.1          py312h9500af3_0    conda-forge
cssselect                 1.2.0              pyhd8ed1ab_0    conda-forge
cuda-cccl                 12.6.37                       0    nvidia
cuda-cccl_win-64          12.6.37                       0    nvidia
cuda-cudart               12.4.127                      0    nvidia
cuda-cudart-dev           12.4.127                      0    nvidia
cuda-cupti                12.4.127                      0    nvidia
cuda-libraries            12.4.0                        0    nvidia
cuda-libraries-dev        12.4.0                        0    nvidia
cuda-nvrtc                12.4.127                      0    nvidia
cuda-nvrtc-dev            12.4.127                      0    nvidia
cuda-nvtx                 12.4.127                      0    nvidia
cuda-opencl               12.6.68                       0    nvidia
cuda-opencl-dev           12.6.68                       0    nvidia
cuda-profiler-api         12.6.68                       0    nvidia
cuda-runtime              12.4.0                        0    nvidia
cuda-version              12.6                          3    nvidia
curl                      8.8.0                h0dd56e1_1    conda-forge
cycler                    0.12.1             pyhd8ed1ab_0    conda-forge
cytoolz                   0.12.3          py312he70551f_0    conda-forge
dask                      2024.9.0           pyhd8ed1ab_0    conda-forge
dask-core                 2024.9.0           pyhd8ed1ab_0    conda-forge
dask-expr                 1.1.14             pyhd8ed1ab_0    conda-forge
datashader                0.16.3             pyhd8ed1ab_0    conda-forge
dav1d                     1.2.1                hcfcfb64_0    conda-forge
debugpy                   1.8.5           py312h275cf98_1    conda-forge
decorator                 5.1.1              pyhd8ed1ab_0    conda-forge
defusedxml                0.7.1              pyhd8ed1ab_0    conda-forge
deprecated                1.2.14             pyh1a96a4e_0    conda-forge
diff-match-patch          20230430           pyhd8ed1ab_0    conda-forge
dill                      0.3.8              pyhd8ed1ab_0    conda-forge
distributed               2024.9.0           pyhd8ed1ab_0    conda-forge
distro                    1.9.0              pyhd8ed1ab_0    conda-forge
docstring-to-markdown     0.15               pyhd8ed1ab_0    conda-forge
docutils                  0.21.2             pyhd8ed1ab_0    conda-forge
einops                    0.8.0              pyhd8ed1ab_0    conda-forge
entrypoints               0.4                pyhd8ed1ab_0    conda-forge
et_xmlfile                1.1.0              pyhd8ed1ab_0    conda-forge
exceptiongroup            1.2.2              pyhd8ed1ab_0    conda-forge
executing                 2.1.0              pyhd8ed1ab_0    conda-forge
expat                     2.6.3                he0c23c2_0    conda-forge
filelock                  3.16.1             pyhd8ed1ab_0    conda-forge
flake8                    7.1.1              pyhd8ed1ab_0    conda-forge
flask                     3.0.3              pyhd8ed1ab_0    conda-forge
fmt                       10.2.1               h181d51b_0    conda-forge
fonttools                 4.53.1          py312h4389bb4_1    conda-forge
fqdn                      1.5.1              pyhd8ed1ab_0    conda-forge
freetype                  2.12.1               hdaf720e_2    conda-forge
frozendict                2.4.4           py312h4389bb4_0    conda-forge
frozenlist                1.4.1           py312h4389bb4_1    conda-forge
